cap-shape,cap-surface,cap-color,bruises,ODOR,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,mushroom
BELL,SMOOTH,BROWN,NO,ALMOND,ATTACHED,CLOSE,NARROW,BLACK,TAPERING,BULBOUS,SMOOTH,SMOOTH,WHITE,WHITE,PARTIAL,WHITE,ONE,COBWEBBY,BLACK,SEVERAL,WOODS,EDIBLE
CONICAL,FIBROUS,BUFF,BRUISES,ANISE,DESCENDING,CROWDED,BROAD,BROWN,ENLARGING,CLUB,FIBROUS,SCALY,PINK,PINK,UNIVERSAL,YELLOW,TWO,EVANESCENT,BROWN,SCATTERED,MEADOWS,POISONOUS
CONVEX,SCALY,CINNAMON,,CREOSOTE,FREE,DISTANT,,BUFF,,ROOTED,SILKY,FIBROUS,GRAY,GRAY,,ORANGE,NONE,FLARING,BUFF,NUMEROUS,GRASSES,
FLAT,GROOVES,GRAY,,FISHY,NOTCHED,,,CHOCOLATE,,EQUAL,SCALY,SILKY,BUFF,BUFF,,BROWN,,LARGE,CHOCOLATE,SOLITARY,PATHS,
KNOBBED,,GREEN,,FOUL,,,,GRAY,,CUP,,,BROWN,BROWN,,,,NONE,GREEN,ABUNDANT,URBAN,
SUNKEN,,PINK,,MUSTY,,,,GREEN,,RHIZOMORPHS,,,RED,RED,,,,PENDANT,ORANGE,CLUSTERED,LEAVES,
,,PURPLE,,NONE,,,,ORANGE,,?,,,CINNAMON,YELLOW,,,,SHEATHING,PURPLE,,WASTE,
,,RED,,PUNGENT,,,,PINK,,,,,YELLOW,CINNAMON,,,,ZONE,WHITE,,,
,,WHITE,,SPICY,,,,PURPLE,,,,,ORANGE,ORANGE,,,,,YELLOW,,,
,,YELLOW,,,,,,RED,,,,,,,,,,,,,,
,,,,,,,,WHITE,,,,,,,,,,,,,,
,,,,,,,,YELLOW,,,,,,,,,,,,,,
